noop,fork-simple,vfork-simple
28,35871,10586
29,37967,10923
28,38088,13986
28,42352,12607
27,36220,11218
29,37585,10618
27,36584,15190
28,44648,11212
28,40146,11861
28,38140,10754
28,37838,15495
28,43283,10424
28,41929,11147
28,39543,10838
28,48364,14677
28,37575,14015
28,37015,10482
29,37104,13517
28,40747,14405
29,35803,11738
28,37444,11011
28,37202,11000
28,42018,16074
29,36581,10504
28,39438,10898
28,40394,15379
28,38109,14683
27,36904,10860
28,35970,10896
28,39548,10664
28,39012,18596
28,36583,14075
28,36037,11590
28,41166,13056
27,42720,14740
28,36460,11732
28,38052,12364
30,35668,12118
29,37824,15066
29,38380,11310
29,39196,12126
28,36089,11463
28,37594,16145
28,36041,12382
29,40682,11780
29,35966,13255
28,131998,17330
28,40800,10621
28,37394,10655
28,37755,10815
28,36742,16305
27,38576,10776
28,37896,10770
28,39444,14944
28,38996,15271
28,42906,11052
28,39925,10445
28,37714,10236
29,41356,14254
27,39693,13392
28,36943,10683
28,40833,14082
28,41512,15066
28,40565,10658
28,41706,10814
28,37983,10611
28,41627,15228
28,41085,11693
28,41152,10978
28,42333,10498
30,39732,14158
27,41817,10558
28,36597,10807
28,42391,14315
28,38377,14641
29,36086,10553
27,38523,14100
28,42299,10304
29,37050,14500
28,36295,11492
28,39403,10954
28,41701,14759
28,38741,13568
28,36562,10646
28,42852,10808
28,41417,11361
28,44163,15995
28,35110,12814
27,40393,11025
28,45587,10567
28,42335,14630
28,36452,10781
28,44717,16406
28,43406,10840
28,39206,14806
28,41494,10465
28,36695,10435
28,39499,11433
28,36817,14898
27,40393,13690
28,35826,14334
28,38918,11615
28,40231,11733
27,43625,11805
29,41458,10902
28,41280,11323
28,36738,12240
28,40788,11281
29,36017,11179
27,43782,12136
29,40998,11644
28,35636,11346
29,38640,12036
29,39454,11038
28,46032,10834
29,36895,14652
28,36364,11137
29,45707,11025
28,39781,11783
28,36386,10918
28,36219,10991
27,39229,11206
27,36416,10992
27,36245,10916
28,35329,11855
28,38746,11188
28,43074,11327
29,43512,11192
29,40535,11081
28,41706,11353
29,37446,15236
28,38690,11602
28,40107,11148
28,36406,10971
