noop,fork-simple,vfork-simple
29,40317,13030
27,36642,12403
27,39377,12053
28,37303,11803
29,40913,11919
28,37322,12411
28,39045,11911
28,39525,12228
29,37097,11609
27,36673,11800
29,38506,13396
29,41373,11657
27,40148,11669
28,40372,13767
28,43913,12875
28,42043,11997
28,35350,11802
29,36107,11643
29,39978,11134
27,37426,11730
28,37239,12635
28,36618,13645
27,42200,12214
27,36607,13602
27,37217,11857
28,37373,12074
28,45449,15275
28,40861,13767
27,37461,11060
29,40034,11535
28,36101,12182
29,36370,11567
27,36388,12510
27,41780,11670
27,37175,12721
29,37749,12034
28,37129,11145
27,40738,11219
28,36495,11242
27,36661,11655
27,36163,11504
27,40420,17553
27,37780,11337
29,37090,11321
30,38560,11763
27,39787,12196
29,38080,11500
28,36697,11972
28,41640,11116
27,40412,11814
29,38819,11921
27,38638,11240
28,44933,12014
27,38633,11672
27,40085,11817
28,43615,13816
28,37535,11734
27,36311,14819
28,37032,10880
28,41711,11620
27,37481,11533
29,37434,11800
27,37062,11429
28,40538,11566
26,37560,12196
28,37560,11741
27,43097,11382
28,37819,11665
28,36773,11622
29,43647,13109
28,42692,11674
28,36667,11871
28,37424,14635
28,40305,11445
28,40989,11786
27,37518,11603
28,37274,11479
27,37350,11931
29,40492,11024
28,38092,11701
29,36615,11663
28,40821,11494
29,36691,11580
27,36900,13535
28,36676,11446
28,41281,12547
26,36284,12620
28,36311,15402
28,36672,11376
28,41154,11587
28,37102,11546
28,36264,11490
28,40434,11337
27,37010,11001
27,36243,11891
28,36395,12218
28,39371,11952
29,36017,13734
28,38357,11542
27,37857,12205
28,40888,11478
29,36441,11720
27,38714,11403
29,40148,15678
27,36428,11518
29,37161,11915
27,40381,11148
28,42750,12185
28,39338,11729
28,39963,12251
27,39135,11551
27,43385,13305
28,40602,11100
28,39556,11340
27,47137,12189
28,36482,11670
29,36655,11732
28,39125,12261
28,42260,11351
29,36369,15488
28,37259,11605
27,36587,11429
28,40884,11464
30,36217,11809
27,36307,11669
29,35916,13784
29,42797,11708
27,36247,11906
27,36817,12010
27,42758,11916
28,42244,11161
29,42787,11347
28,41142,11225
28,41380,11385
28,37782,15441
28,36904,11782
28,36398,12301
27,39874,11775
28,37910,11045
28,36847,13081
27,40663,11347
28,37627,11596
28,38467,11198
28,38394,11609
28,41364,12296
28,36217,11237
28,38958,11168
29,36996,11090
28,42661,11721
28,39018,11709
27,42504,14776
27,40914,11652
29,36536,11437
29,35785,13269
28,38857,11173
28,39639,11882
28,37130,11250
28,36616,11560
27,38430,12073
28,42123,11464
28,36413,12160
28,36445,11522
29,38190,11250
28,39715,11494
28,38532,11537
28,36284,14963
27,41733,11653
27,36338,14052
27,37453,11592
28,36747,11145
27,40622,11314
28,36636,11530
28,36741,11478
27,36461,11540
27,40242,11216
27,36380,11668
26,37344,11475
28,38988,11860
28,37246,11543
29,36664,11582
27,36656,11923
28,40498,16236
28,36429,12116
28,36185,11499
28,37186,11920
28,42192,11737
28,36835,11114
29,36605,12615
29,43991,12193
28,37679,11675
28,36600,11205
29,36891,11466
29,42944,12042
28,40929,11432
27,41413,11557
28,40173,13171
28,41137,16050
28,38621,12242
28,36483,12008
28,39568,11646
28,35730,11880
28,37579,13010
28,36619,15016
28,41765,12445
28,37133,11958
27,37604,11968
28,35996,12655
28,40808,11913
28,38648,11573
27,41845,12200
28,41018,11208
28,44275,11491
28,39628,15247
27,39023,12475
29,39984,11457
28,36553,11523
27,35783,11746
27,37960,10988
29,39827,11614
28,37041,11760
27,36625,11424
29,38045,11656
27,40257,11068
27,36015,11839
30,35583,11878
28,41401,11285
28,36293,11717
27,37054,14856
28,36244,10998
28,41662,11039
28,36775,11213
27,36404,11930
27,36492,11617
28,41848,11848
31,38895,10858
27,35695,10994
28,40552,12002
28,39278,11268
28,40067,12490
29,37984,12135
28,42729,10819
27,36897,11516
28,37287,11737
28,39415,14898
27,41441,11551
27,37530,11322
28,39212,11207
28,37058,11634
28,39837,11735
28,37169,10863
27,38382,11006
27,42260,11526
28,41181,11272
27,40823,11704
27,37758,11566
28,39817,11329
28,39032,12224
28,39034,12374
28,42830,14083
28,42127,11966
30,37965,11877
28,37060,11526
28,40450,11361
28,37020,11570
28,37350,11187
27,36626,12028
28,40267,10821
28,38166,11292
28,36837,11541
28,38125,11420
28,40227,12098
29,36518,14466
27,36668,11324
28,41328,11073
27,36731,14940
28,36789,11706
28,36710,11399
27,42077,11254
28,36852,11271
28,36349,11418
29,37492,12000
27,40587,11467
28,37098,10760
28,36517,11511
28,40205,11372
27,37697,11884
28,37212,11181
29,36498,11705
28,40507,12007
28,37837,15819
27,36902,11808
28,183309,11175
28,41602,11480
28,36395,12190
27,36923,11361
27,36962,11745
28,39467,11226
28,35891,11597
28,37356,11196
29,39163,11713
28,36304,11522
28,35645,11623
28,36041,11352
27,39999,11637
28,35235,11121
28,35685,15391
27,37324,10883
29,43480,11334
28,36587,11307
28,36538,11865
28,40203,11402
28,36315,11492
28,39950,11210
28,37058,11302
28,41092,11273
28,37573,11405
27,38487,11370
28,36895,11434
28,43878,11176
27,39453,12204
29,40137,15640
28,43988,11060
27,39763,11680
28,38272,11390
28,37953,11561
28,41911,11424
30,36531,11170
28,36749,11742
29,36357,11318
27,42131,11492
28,36855,11491
28,36768,11422
27,36923,11712
28,41131,11230
28,37692,11680
27,35850,11223
28,41017,13945
27,41033,12702
28,39579,12480
28,36313,12526
28,40745,15273
27,38223,13371
30,37131,12044
28,37108,13231
28,39708,12902
27,38535,11981
27,36439,12354
26,41065,12104
29,36201,13351
27,38451,12604
28,36326,12209
28,40237,16216
29,38596,12021
28,38595,11543
29,40502,11428
29,40841,11593
27,36940,11715
29,38287,11432
27,40357,11558
27,37585,12441
28,37304,10967
28,38476,10747
27,40158,13715
28,36602,11847
27,35774,11523
27,39638,11298
29,40432,11278
28,36336,14781
30,36353,11278
27,40695,11633
28,35644,11429
27,36841,11184
28,35301,11641
28,40940,11363
28,1780981,11823
27,38735,11580
28,36859,11479
28,43392,11391
28,40659,11906
29,39370,11470
27,37981,11593
28,47181,11998
27,40335,14671
27,40524,11829
28,44787,12490
28,39334,11905
28,42285,12075
28,39712,11335
27,44187,11921
27,41741,11175
28,39564,11526
28,41035,12489
27,41542,11638
27,37629,11601
27,37379,11103
29,39905,11602
28,36635,11391
29,37530,11071
27,37166,14563
28,40702,13187
28,37100,11259
