noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
30,6877,7626,38225,42872,11696,12939
30,6485,7645,39808,47101,11309,11500
30,6480,7611,41750,41871,13569,11894
30,6523,7552,38813,41481,11736,12433
30,6532,7634,39183,42569,11701,11972
29,6614,7577,46993,48855,11961,11189
30,6584,7646,38366,44638,11893,11978
30,6414,7643,40641,44828,15864,12176
29,6249,7595,38611,48857,12212,12007
30,5919,7673,42779,42613,12553,12214
30,7493,7623,38047,41273,11597,12015
29,6457,7598,39050,43536,12738,12077
29,6582,7585,43864,45485,12125,18511
29,6764,7645,38606,41922,12098,11298
30,6786,7739,38617,42423,13115,12198
29,6489,7646,38807,45556,11881,12771
29,6393,7574,40818,42415,14482,11782
28,6685,7671,38260,46425,11745,11957
29,6586,7615,38491,42611,11710,12753
30,6330,7735,43190,46198,13334,12366
30,6458,7608,37835,43101,12316,12435
29,6308,7572,39963,43146,14365,12218
29,6598,7693,38205,47477,15682,15731
29,6726,7740,41539,46315,12068,11364
29,6188,7660,37130,44806,11496,11923
29,5791,7633,40322,43515,11716,11830
29,6995,7641,40186,48675,11414,13000
29,6366,7643,39690,45043,11770,15916
29,6565,7641,37812,45570,11571,11381
29,6531,7712,40144,49069,11570,11783
30,6772,7537,43478,41862,13467,12417
30,6773,7705,40753,44249,11442,11650
28,6537,7621,39367,42190,11550,11585
28,6877,7672,44249,46634,12301,11806
29,6612,7639,38155,41675,12011,11305
29,6697,7701,38003,43752,12352,11840
30,6706,7546,38839,45791,11685,12146
30,5510,7674,43695,42421,12609,12037
30,10210,7610,37458,41762,16320,12146
29,6778,7666,38539,44227,11896,12453
29,6504,8095,40886,46389,11383,13453
29,6767,7634,40413,42058,11501,12301
31,6653,7627,38373,41484,13008,11981
29,5600,7556,37936,48030,11918,15333
29,7508,7602,41705,42274,13758,11808
30,6616,7618,42102,41917,11735,12083
30,6673,7553,37881,42086,12042,13602
29,6718,7670,42708,47974,11926,11834
30,6531,7770,38225,42939,12013,12225
29,6705,7648,38527,42201,11622,11849
30,6564,7561,37538,44102,11859,15275
30,6499,7608,44463,44235,11921,11788
